    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.9058	   -0.1287
       1.0	    0.9057	   -0.0932
       2.0	    0.9055	    0.0131
       3.0	    0.9051	    0.1903
       4.0	    0.9046	    0.4383
       5.0	    0.9038	    0.7572
       6.0	    0.9029	    1.1468
       6.0	    1.0474	   -0.0500
       7.0	    1.0463	    0.4784
       8.0	    1.0452	    1.0091
       9.0	    1.0440	    1.5429
      10.0	    1.0428	    2.0804
      11.0	    1.0417	    2.6224
      12.0	    1.0405	    3.1697
      13.0	    1.0393	    3.7230
      14.0	    1.0383	    4.2828
      15.0	    1.0373	    4.8498
      16.0	    1.0364	    5.4244
      17.0	    1.0356	    6.0070
      18.0	    1.0349	    6.5980
      19.0	    1.0343	    7.1976
      20.0	    1.0339	    7.8061
      21.0	    1.0336	    8.4235
      22.0	    1.0335	    9.0499
      23.0	    1.0334	    9.6855
      24.0	    1.0335	   10.3302
      25.0	    1.0337	   10.9840
      26.0	    1.0341	   11.6468
      27.0	    1.0346	   12.3187
      28.0	    1.0351	   12.9996
      29.0	    1.0358	   13.6892
      30.0	    1.0365	   14.3876
      31.0	    1.0373	   15.0946
      32.0	    1.0382	   15.8100
      33.0	    1.0391	   16.5335
      34.0	    1.0400	   17.2650
      35.0	    1.0409	   18.0042
      36.0	    1.0419	   18.7509
      37.0	    1.0428	   19.5046
      38.0	    1.0436	   20.2652
      39.0	    1.0444	   21.0323
      40.0	    1.0452	   21.8055
      41.0	    1.0459	   22.5843
      42.0	    1.0466	   23.3684
      43.0	    1.0471	   24.1573
      44.0	    1.0477	   24.9504
      45.0	    1.0481	   25.7472
      46.0	    1.0486	   26.5470
      47.0	    1.0489	   27.3492
      48.0	    1.0492	   28.1531
      49.0	    1.0495	   28.9580
      50.0	    1.0497	   29.7632
      51.0	    1.0499	   30.5678
      52.0	    1.0501	   31.3713
      53.0	    1.0502	   32.1728
      54.0	    1.0503	   32.9717
      55.0	    1.0504	   33.7673
      56.0	    1.0504	   34.5592
      57.0	    1.0504	   35.3467
      58.0	    1.0504	   36.1294
      59.0	    1.0504	   36.9069
      60.0	    1.0503	   37.6789
      61.0	    1.0503	   38.4453
      62.0	    1.0502	   39.2057
      63.0	    1.0502	   39.9602
      64.0	    1.0501	   40.7088
      65.0	    1.0501	   41.4515
      66.0	    1.0501	   42.1886
      67.0	    1.0501	   42.9201
      68.0	    1.0502	   43.6466
      69.0	    1.0502	   44.3683
      70.0	    1.0503	   45.0856
      71.0	    1.0504	   45.7991
      72.0	    1.0505	   46.5093
      73.0	    1.0506	   47.2167
      74.0	    1.0507	   47.9219
      75.0	    1.0508	   48.6254
      76.0	    1.0509	   49.3278
      77.0	    1.0510	   50.0297
      78.0	    1.0510	   50.7315
      79.0	    1.0509	   51.4337
      80.0	    1.0509	   52.1368
      81.0	    1.0507	   52.8412
      82.0	    1.0505	   53.5473
      83.0	    1.0503	   54.2553
      84.0	    1.0500	   54.9657
      85.0	    1.0496	   55.6786
      86.0	    1.0491	   56.3942
      87.0	    1.0486	   57.1126
      88.0	    1.0480	   57.8339
      89.0	    1.0473	   58.5583
      90.0	    1.0465	   59.2857
      91.0	    1.0457	   60.0161
      92.0	    1.0448	   60.7495
      93.0	    1.0439	   61.4860
      94.0	    1.0429	   62.2255
      95.0	    1.0420	   62.9681
      96.0	    1.0410	   63.7140
      97.0	    1.0400	   64.4633
      98.0	    1.0391	   65.2162
      99.0	    1.0381	   65.9730
     100.0	    1.0373	   66.7341
     101.0	    1.0365	   67.4999
     102.0	    1.0358	   68.2709
     103.0	    1.0352	   69.0475
     104.0	    1.0347	   69.8302
     105.0	    1.0343	   70.6197
     106.0	    1.0340	   71.4165
     107.0	    1.0338	   72.2213
     108.0	    1.0338	   73.0345
     109.0	    1.0339	   73.8568
     110.0	    1.0341	   74.6888
     111.0	    1.0343	   75.5310
     112.0	    1.0348	   76.3839
     113.0	    1.0353	   77.2479
     114.0	    1.0359	   78.1233
     115.0	    1.0366	   79.0105
     116.0	    1.0373	   79.9096
