    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5959
       0.0	    0.0631	    3.2813
       1.0	    0.0630	    3.3348
       2.0	    0.0630	    3.4953
       3.0	    0.0630	    3.7621
       4.0	    0.0630	    4.1346
       5.0	    0.0630	    4.6117
       6.0	    0.0629	    5.1920
       6.0	    1.0749	    0.8000
       7.0	    1.0740	    1.4194
       8.0	    1.0732	    2.0299
       9.0	    1.0725	    2.6293
      10.0	    1.0718	    3.2156
      11.0	    1.0713	    3.7870
      12.0	    1.0708	    4.3417
      13.0	    1.0705	    4.8782
      14.0	    1.0703	    5.3952
      15.0	    1.0701	    5.8914
      16.0	    1.0701	    6.3658
      17.0	    1.0702	    6.8176
      18.0	    1.0704	    7.2462
      19.0	    1.0707	    7.6514
      20.0	    1.0710	    8.0330
      21.0	    1.0714	    8.3912
      22.0	    1.0718	    8.7265
      23.0	    1.0721	    9.0396
      24.0	    1.0725	    9.3314
      25.0	    1.0729	    9.6030
      26.0	    1.0733	    9.8558
      27.0	    1.0736	   10.0914
      28.0	    1.0738	   10.3112
      29.0	    1.0740	   10.5172
      30.0	    1.0742	   10.7110
      31.0	    1.0743	   10.8944
      32.0	    1.0743	   11.0693
      33.0	    1.0743	   11.2372
      34.0	    1.0742	   11.3997
      35.0	    1.0741	   11.5584
      36.0	    1.0739	   11.7144
      37.0	    1.0737	   11.8689
      38.0	    1.0735	   12.0228
      39.0	    1.0732	   12.1768
      40.0	    1.0730	   12.3313
      41.0	    1.0727	   12.4866
      42.0	    1.0724	   12.6427
      43.0	    1.0722	   12.7993
      44.0	    1.0720	   12.9561
      45.0	    1.0719	   13.1124
      46.0	    1.0718	   13.2675
      47.0	    1.0718	   13.4202
      48.0	    1.0719	   13.5696
      49.0	    1.0720	   13.7143
      50.0	    1.0722	   13.8530
      51.0	    1.0725	   13.9844
      52.0	    1.0728	   14.1071
      53.0	    1.0733	   14.2196
      54.0	    1.0737	   14.3206
      55.0	    1.0742	   14.4091
      56.0	    1.0748	   14.4840
      57.0	    1.0754	   14.5444
      58.0	    1.0760	   14.5898
      59.0	    1.0766	   14.6198
      60.0	    1.0772	   14.6346
      61.0	    1.0778	   14.6344
      62.0	    1.0783	   14.6198
      63.0	    1.0789	   14.5919
      64.0	    1.0793	   14.5520
      65.0	    1.0798	   14.5016
      66.0	    1.0801	   14.4427
      67.0	    1.0805	   14.3775
      68.0	    1.0807	   14.3083
      69.0	    1.0809	   14.2378
      70.0	    1.0810	   14.1686
      71.0	    1.0810	   14.1037
      72.0	    1.0810	   14.0459
      73.0	    1.0809	   13.9981
      74.0	    1.0808	   13.9630
      75.0	    1.0806	   13.9435
      76.0	    1.0804	   13.9419
      77.0	    1.0802	   13.9608
      78.0	    1.0800	   14.0022
      79.0	    1.0798	   14.0677
      80.0	    1.0796	   14.1591
      81.0	    1.0795	   14.2772
      82.0	    1.0794	   14.4229
      83.0	    1.0794	   14.5966
      84.0	    1.0794	   14.7982
      85.0	    1.0795	   15.0273
      86.0	    1.0796	   15.2832
      87.0	    1.0798	   15.5648
      88.0	    1.0800	   15.8706
      89.0	    1.0803	   16.1990
      90.0	    1.0805	   16.5480
      91.0	    1.0808	   16.9156
      92.0	    1.0810	   17.2994
      93.0	    1.0813	   17.6972
      94.0	    1.0815	   18.1065
      95.0	    1.0817	   18.5251
      96.0	    1.0818	   18.9507
      97.0	    1.0819	   19.3812
      98.0	    1.0820	   19.8145
      99.0	    1.0819	   20.2490
     100.0	    1.0819	   20.6832
     101.0	    1.0818	   21.1157
     102.0	    1.0817	   21.5457
     103.0	    1.0815	   21.9724
     104.0	    1.0812	   22.3955
     105.0	    1.0809	   22.8149
     106.0	    1.0806	   23.2307
     107.0	    1.0802	   23.6435
     108.0	    1.0798	   24.0540
     109.0	    1.0793	   24.4630
     110.0	    1.0789	   24.8716
     111.0	    1.0783	   25.2810
     112.0	    1.0778	   25.6926
     113.0	    1.0773	   26.1076
     114.0	    1.0767	   26.5273
     115.0	    1.0762	   26.9530
     116.0	    1.0757	   27.3858
     117.0	    1.0753	   27.8266
     118.0	    1.0749	   28.2762
     119.0	    1.0746	   28.7351
     120.0	    1.0743	   29.2034
     121.0	    1.0741	   29.6812
     122.0	    1.0739	   30.1680
     123.0	    1.0738	   30.6632
     124.0	    1.0737	   31.1657
     125.0	    1.0737	   31.6741
     126.0	    1.0738	   32.1869
     127.0	    1.0738	   32.7021
     128.0	    1.0739	   33.2176
     129.0	    1.0739	   33.7311
     130.0	    1.0739	   34.2400
     131.0	    1.0739	   34.7419
     132.0	    1.0739	   35.2339
     133.0	    1.0738	   35.7135
     134.0	    1.0737	   36.1779
     135.0	    1.0736	   36.6247
     136.0	    1.0734	   37.0514
     137.0	    1.0731	   37.4558
     138.0	    1.0729	   37.8359
     139.0	    1.0726	   38.1900
     140.0	    1.0723	   38.5166
     141.0	    1.0719	   38.8148
     142.0	    1.0716	   39.0836
     143.0	    1.0713	   39.3228
     144.0	    1.0710	   39.5324
     145.0	    1.0707	   39.7126
     146.0	    1.0704	   39.8644
     147.0	    1.0702	   39.9887
     148.0	    1.0700	   40.0869
     149.0	    1.0699	   40.1608
     150.0	    1.0698	   40.2122
     151.0	    1.0698	   40.2434
     152.0	    1.0699	   40.2565
     153.0	    1.0701	   40.2541
     154.0	    1.0703	   40.2385
     155.0	    1.0706	   40.2124
     156.0	    1.0710	   40.1781
     157.0	    1.0715	   40.1380
     158.0	    1.0721	   40.0945
     159.0	    1.0727	   40.0497
     160.0	    1.0733	   40.0057
     161.0	    1.0740	   39.9643
     162.0	    1.0747	   39.9271
     163.0	    1.0754	   39.8955
     164.0	    1.0761	   39.8707
     165.0	    1.0768	   39.8538
     166.0	    1.0775	   39.8453
     167.0	    1.0781	   39.8458
     168.0	    1.0786	   39.8554
     169.0	    1.0791	   39.8742
     170.0	    1.0796	   39.9019
     171.0	    1.0799	   39.9380
     172.0	    1.0802	   39.9819
     173.0	    1.0804	   40.0328
     174.0	    1.0805	   40.0896
     175.0	    1.0805	   40.1515
     176.0	    1.0804	   40.2173
     177.0	    1.0803	   40.2858
     178.0	    1.0801	   40.3560
     179.0	    1.0798	   40.4269
     180.0	    1.0795	   40.4974
     181.0	    1.0791	   40.5667
     182.0	    1.0788	   40.6342
     183.0	    1.0784	   40.6994
     184.0	    1.0780	   40.7619
     185.0	    1.0777	   40.8216
     186.0	    1.0774	   40.8785
     187.0	    1.0772	   40.9330
     188.0	    1.0770	   40.9856
     189.0	    1.0769	   41.0368
     190.0	    1.0769	   41.0874
     191.0	    1.0770	   41.1384
     192.0	    1.0772	   41.1909
     193.0	    1.0775	   41.2460
     194.0	    1.0779	   41.3050
     195.0	    1.0784	   41.3693
     196.0	    1.0789	   41.4404
     197.0	    1.0795	   41.5197
     198.0	    1.0801	   41.6088
     199.0	    1.0807	   41.7094
     200.0	    1.0813	   41.8231
     201.0	    1.0818	   41.9515
     202.0	    1.0824	   42.0962
     203.0	    1.0828	   42.2588
     204.0	    1.0832	   42.4407
     205.0	    1.0836	   42.6434
     206.0	    1.0838	   42.8679
     207.0	    1.0840	   43.1155
     208.0	    1.0841	   43.3868
     209.0	    1.0841	   43.6825
     210.0	    1.0840	   44.0030
     211.0	    1.0838	   44.3483
     212.0	    1.0836	   44.7182
     213.0	    1.0832	   45.1123
     214.0	    1.0828	   45.5298
     215.0	    1.0823	   45.9698
     216.0	    1.0817	   46.4309
     217.0	    1.0811	   46.9117
     218.0	    1.0804	   47.4105
     219.0	    1.0797	   47.9255
     220.0	    1.0789	   48.4544
     221.0	    1.0782	   48.9953
     222.0	    1.0774	   49.5457
     223.0	    1.0767	   50.1034
     224.0	    1.0760	   50.6658
     225.0	    1.0753	   51.2306
     226.0	    1.0748	   51.7953
     227.0	    1.0743	   52.3573
     228.0	    1.0738	   52.9143
     229.0	    1.0735	   53.4639
     230.0	    1.0732	   54.0038
     231.0	    1.0731	   54.5318
     232.0	    1.0730	   55.0458
     233.0	    1.0730	   55.5440
     234.0	    1.0730	   56.0248
     235.0	    1.0731	   56.4866
     236.0	    1.0733	   56.9284
     237.0	    1.0734	   57.3492
     238.0	    1.0736	   57.7486
     239.0	    1.0738	   58.1260
     240.0	    1.0740	   58.4817
     241.0	    1.0742	   58.8158
     242.0	    1.0743	   59.1290
     243.0	    1.0744	   59.4222
     244.0	    1.0744	   59.6963
     245.0	    1.0744	   59.9526
     246.0	    1.0744	   60.1926
     247.0	    1.0743	   60.4178
     248.0	    1.0741	   60.6298
     249.0	    1.0739	   60.8303
     250.0	    1.0737	   61.0209
     251.0	    1.0734	   61.2032
     252.0	    1.0730	   61.3788
     253.0	    1.0727	   61.5490
     254.0	    1.0723	   61.7151
     255.0	    1.0719	   61.8781
     256.0	    1.0716	   62.0390
     257.0	    1.0713	   62.1984
     258.0	    1.0709	   62.3567
     259.0	    1.0707	   62.5141
     260.0	    1.0705	   62.6705
     261.0	    1.0704	   62.8256
     262.0	    1.0703	   62.9789
     263.0	    1.0703	   63.1295
     264.0	    1.0704	   63.2765
     265.0	    1.0706	   63.4187
     266.0	    1.0708	   63.5548
     267.0	    1.0711	   63.6834
     268.0	    1.0715	   63.8028
     269.0	    1.0720	   63.9116
     270.0	    1.0724	   64.0083
     271.0	    1.0730	   64.0912
     272.0	    1.0735	   64.1592
     273.0	    1.0740	   64.2109
     274.0	    1.0746	   64.2454
     275.0	    1.0752	   64.2619
     276.0	    1.0757	   64.2600
     277.0	    1.0762	   64.2393
     278.0	    1.0767	   64.2002
     279.0	    1.0772	   64.1430
     280.0	    1.0776	   64.0685
     281.0	    1.0780	   63.9779
     282.0	    1.0784	   63.8727
     283.0	    1.0787	   63.7545
     284.0	    1.0789	   63.6254
     285.0	    1.0791	   63.4877
     286.0	    1.0792	   63.3438
     287.0	    1.0792	   63.1965
     288.0	    1.0792	   63.0485
     289.0	    1.0792	   62.9027
     290.0	    1.0791	   62.7619
     291.0	    1.0790	   62.6289
     292.0	    1.0788	   62.5066
     293.0	    1.0787	   62.3976
     294.0	    1.0785	   62.3043
     295.0	    1.0784	   62.2288
     296.0	    1.0784	   62.1732
     297.0	    1.0783	   62.1390
     298.0	    1.0783	   62.1275
     299.0	    1.0784	   62.1396
     300.0	    1.0786	   62.1759


    * 节点"BUS-2    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0544	   -1.1366
       0.0	    0.7550	    0.9228
       1.0	    0.7549	    0.9763
       2.0	    0.7548	    1.1368
       3.0	    0.7545	    1.4036
       4.0	    0.7542	    1.7761
       5.0	    0.7537	    2.2532
       6.0	    0.7532	    2.8335
       6.0	    1.0594	    0.8711
       7.0	    1.0586	    1.4905
       8.0	    1.0578	    2.1010
       9.0	    1.0571	    2.7003
      10.0	    1.0564	    3.2867
      11.0	    1.0559	    3.8580
      12.0	    1.0554	    4.4128
      13.0	    1.0551	    4.9493
      14.0	    1.0549	    5.4663
      15.0	    1.0548	    5.9625
      16.0	    1.0548	    6.4368
      17.0	    1.0549	    6.8886
      18.0	    1.0551	    7.3173
      19.0	    1.0553	    7.7224
      20.0	    1.0556	    8.1040
      21.0	    1.0560	    8.4623
      22.0	    1.0564	    8.7976
      23.0	    1.0568	    9.1107
      24.0	    1.0571	    9.4024
      25.0	    1.0575	    9.6741
      26.0	    1.0579	    9.9269
      27.0	    1.0582	   10.1624
      28.0	    1.0584	   10.3823
      29.0	    1.0586	   10.5883
      30.0	    1.0588	   10.7821
      31.0	    1.0589	   10.9655
      32.0	    1.0589	   11.1403
      33.0	    1.0589	   11.3082
      34.0	    1.0588	   11.4708
      35.0	    1.0587	   11.6294
      36.0	    1.0585	   11.7855
      37.0	    1.0583	   11.9400
      38.0	    1.0581	   12.0939
      39.0	    1.0578	   12.2479
      40.0	    1.0575	   12.4024
      41.0	    1.0573	   12.5577
      42.0	    1.0570	   12.7138
      43.0	    1.0568	   12.8704
      44.0	    1.0566	   13.0272
      45.0	    1.0565	   13.1835
      46.0	    1.0564	   13.3385
      47.0	    1.0564	   13.4913
      48.0	    1.0565	   13.6406
      49.0	    1.0566	   13.7854
      50.0	    1.0568	   13.9241
      51.0	    1.0571	   14.0555
      52.0	    1.0574	   14.1781
      53.0	    1.0578	   14.2906
      54.0	    1.0583	   14.3917
      55.0	    1.0588	   14.4802
      56.0	    1.0594	   14.5550
      57.0	    1.0600	   14.6154
      58.0	    1.0605	   14.6608
      59.0	    1.0611	   14.6909
      60.0	    1.0617	   14.7057
      61.0	    1.0623	   14.7055
      62.0	    1.0629	   14.6909
      63.0	    1.0634	   14.6630
      64.0	    1.0638	   14.6230
      65.0	    1.0643	   14.5727
      66.0	    1.0646	   14.5138
      67.0	    1.0649	   14.4485
      68.0	    1.0652	   14.3794
      69.0	    1.0654	   14.3088
      70.0	    1.0655	   14.2397
      71.0	    1.0655	   14.1748
      72.0	    1.0655	   14.1170
      73.0	    1.0654	   14.0691
      74.0	    1.0653	   14.0341
      75.0	    1.0651	   14.0145
      76.0	    1.0649	   14.0130
      77.0	    1.0647	   14.0319
      78.0	    1.0645	   14.0732
      79.0	    1.0643	   14.1388
      80.0	    1.0641	   14.2301
      81.0	    1.0640	   14.3483
      82.0	    1.0639	   14.4940
      83.0	    1.0639	   14.6677
      84.0	    1.0639	   14.8693
      85.0	    1.0640	   15.0984
      86.0	    1.0641	   15.3543
      87.0	    1.0643	   15.6359
      88.0	    1.0645	   15.9417
      89.0	    1.0648	   16.2701
      90.0	    1.0650	   16.6191
      91.0	    1.0653	   16.9867
      92.0	    1.0655	   17.3705
      93.0	    1.0658	   17.7683
      94.0	    1.0660	   18.1776
      95.0	    1.0661	   18.5962
      96.0	    1.0663	   19.0218
      97.0	    1.0664	   19.4522
      98.0	    1.0664	   19.8856
      99.0	    1.0664	   20.3201
     100.0	    1.0664	   20.7543
     101.0	    1.0663	   21.1868
     102.0	    1.0661	   21.6168
     103.0	    1.0659	   22.0435
     104.0	    1.0657	   22.4666
     105.0	    1.0654	   22.8860
     106.0	    1.0651	   23.3018
     107.0	    1.0647	   23.7146
     108.0	    1.0643	   24.1251
     109.0	    1.0639	   24.5341
     110.0	    1.0634	   24.9427
     111.0	    1.0629	   25.3521
     112.0	    1.0623	   25.7637
     113.0	    1.0618	   26.1786
     114.0	    1.0613	   26.5984
     115.0	    1.0608	   27.0241
     116.0	    1.0603	   27.4568
     117.0	    1.0599	   27.8977
     118.0	    1.0595	   28.3473
     119.0	    1.0591	   28.8061
     120.0	    1.0588	   29.2745
     121.0	    1.0586	   29.7523
     122.0	    1.0585	   30.2391
     123.0	    1.0584	   30.7343
     124.0	    1.0583	   31.2368
     125.0	    1.0583	   31.7452
     126.0	    1.0583	   32.2580
