    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.9110	   -0.1577
       1.0	    0.9109	   -0.1253
       2.0	    0.9107	   -0.0283
       3.0	    0.9104	    0.1333
       4.0	    0.9100	    0.3595
       5.0	    0.9095	    0.6502
       6.0	    0.9088	    1.0053
       6.0	    1.0482	   -0.2098
       7.0	    1.0474	    0.2569
       8.0	    1.0465	    0.7254
       9.0	    1.0456	    1.1961
      10.0	    1.0446	    1.6695
      11.0	    1.0437	    2.1461
      12.0	    1.0427	    2.6264
      13.0	    1.0418	    3.1108
      14.0	    1.0409	    3.5998
      15.0	    1.0401	    4.0938
      16.0	    1.0394	    4.5930
      17.0	    1.0387	    5.0978
      18.0	    1.0381	    5.6083
      19.0	    1.0376	    6.1248
      20.0	    1.0373	    6.6472
      21.0	    1.0370	    7.1758
      22.0	    1.0368	    7.7106
      23.0	    1.0367	    8.2516
      24.0	    1.0367	    8.7988
      25.0	    1.0368	    9.3522
      26.0	    1.0370	    9.9119
      27.0	    1.0373	   10.4780
      28.0	    1.0376	   11.0503
      29.0	    1.0380	   11.6290
      30.0	    1.0385	   12.2142
      31.0	    1.0390	   12.8058
      32.0	    1.0396	   13.4038
      33.0	    1.0402	   14.0084
      34.0	    1.0408	   14.6196
      35.0	    1.0414	   15.2373
      36.0	    1.0421	   15.8615
      37.0	    1.0427	   16.4922
      38.0	    1.0434	   17.1293
      39.0	    1.0440	   17.7726
      40.0	    1.0447	   18.4221
      41.0	    1.0453	   19.0775
      42.0	    1.0459	   19.7387
      43.0	    1.0464	   20.4051
      44.0	    1.0470	   21.0767
      45.0	    1.0475	   21.7528
      46.0	    1.0481	   22.4332
      47.0	    1.0485	   23.1172
      48.0	    1.0490	   23.8043
      49.0	    1.0495	   24.4940
      50.0	    1.0499	   25.1856
      51.0	    1.0503	   25.8784
      52.0	    1.0506	   26.5720
      53.0	    1.0509	   27.2654
      54.0	    1.0512	   27.9583
      55.0	    1.0515	   28.6497
      56.0	    1.0517	   29.3393
      57.0	    1.0519	   30.0264
      58.0	    1.0520	   30.7104
      59.0	    1.0521	   31.3908
      60.0	    1.0522	   32.0672
      61.0	    1.0523	   32.7392
      62.0	    1.0523	   33.4064
      63.0	    1.0523	   34.0685
      64.0	    1.0523	   34.7252
      65.0	    1.0523	   35.3765
      66.0	    1.0523	   36.0221
      67.0	    1.0523	   36.6621
      68.0	    1.0523	   37.2964
      69.0	    1.0523	   37.9251
      70.0	    1.0523	   38.5484
      71.0	    1.0523	   39.1664
      72.0	    1.0523	   39.7794
      73.0	    1.0522	   40.3877
      74.0	    1.0522	   40.9916
      75.0	    1.0521	   41.5915
      76.0	    1.0520	   42.1878
      77.0	    1.0519	   42.7809
      78.0	    1.0517	   43.3713
      79.0	    1.0515	   43.9593
      80.0	    1.0513	   44.5456
      81.0	    1.0510	   45.1305
      82.0	    1.0507	   45.7145
      83.0	    1.0504	   46.2981
      84.0	    1.0500	   46.8817
      85.0	    1.0496	   47.4657
      86.0	    1.0492	   48.0506
      87.0	    1.0487	   48.6367
      88.0	    1.0482	   49.2244
      89.0	    1.0477	   49.8141
      90.0	    1.0471	   50.4062
      91.0	    1.0465	   51.0008
      92.0	    1.0459	   51.5984
      93.0	    1.0453	   52.1993
      94.0	    1.0447	   52.8038
      95.0	    1.0440	   53.4121
      96.0	    1.0434	   54.0247
      97.0	    1.0427	   54.6418
      98.0	    1.0421	   55.2637
      99.0	    1.0415	   55.8908
     100.0	    1.0409	   56.5234
     101.0	    1.0403	   57.1620
     102.0	    1.0397	   57.8067
     103.0	    1.0393	   58.4581
     104.0	    1.0388	   59.1164
     105.0	    1.0384	   59.7820
     106.0	    1.0381	   60.4552
     107.0	    1.0378	   61.1365
     108.0	    1.0376	   61.8261
     109.0	    1.0374	   62.5243
     110.0	    1.0374	   63.2314
     111.0	    1.0374	   63.9477
     112.0	    1.0375	   64.6733
     113.0	    1.0377	   65.4084
     114.0	    1.0380	   66.1531
     115.0	    1.0384	   66.9074
     116.0	    1.0389	   67.6712
