    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.9062	   -0.1331
       1.0	    0.9061	   -0.1005
       2.0	    0.9060	   -0.0024
       3.0	    0.9057	    0.1609
       4.0	    0.9053	    0.3895
       5.0	    0.9047	    0.6832
       6.0	    0.9040	    1.0420
       6.0	    1.0484	   -0.1854
       7.0	    1.0476	    0.2845
       8.0	    1.0467	    0.7561
       9.0	    1.0458	    1.2297
      10.0	    1.0448	    1.7058
      11.0	    1.0439	    2.1849
      12.0	    1.0429	    2.6675
      13.0	    1.0420	    3.1539
      14.0	    1.0412	    3.6446
      15.0	    1.0404	    4.1399
      16.0	    1.0396	    4.6401
      17.0	    1.0390	    5.1454
      18.0	    1.0384	    5.6560
      19.0	    1.0379	    6.1721
      20.0	    1.0376	    6.6938
      21.0	    1.0373	    7.2210
      22.0	    1.0372	    7.7540
      23.0	    1.0371	    8.2926
      24.0	    1.0371	    8.8370
      25.0	    1.0372	    9.3871
      26.0	    1.0375	    9.9430
      27.0	    1.0377	   10.5047
      28.0	    1.0381	   11.0723
      29.0	    1.0385	   11.6459
      30.0	    1.0390	   12.2255
      31.0	    1.0395	   12.8112
      32.0	    1.0401	   13.4030
      33.0	    1.0407	   14.0010
      34.0	    1.0413	   14.6054
      35.0	    1.0420	   15.2160
      36.0	    1.0426	   15.8329
      37.0	    1.0433	   16.4561
      38.0	    1.0439	   17.0855
      39.0	    1.0445	   17.7210
      40.0	    1.0451	   18.3625
      41.0	    1.0457	   19.0099
      42.0	    1.0463	   19.6628
      43.0	    1.0469	   20.3210
      44.0	    1.0474	   20.9841
      45.0	    1.0479	   21.6517
      46.0	    1.0484	   22.3235
      47.0	    1.0489	   22.9988
      48.0	    1.0493	   23.6772
      49.0	    1.0498	   24.3579
      50.0	    1.0501	   25.0405
      51.0	    1.0505	   25.7243
      52.0	    1.0508	   26.4085
      53.0	    1.0511	   27.0926
      54.0	    1.0514	   27.7758
      55.0	    1.0516	   28.4575
      56.0	    1.0518	   29.1370
      57.0	    1.0520	   29.8138
      58.0	    1.0521	   30.4873
      59.0	    1.0522	   31.1569
      60.0	    1.0523	   31.8221
      61.0	    1.0523	   32.4827
      62.0	    1.0524	   33.1380
      63.0	    1.0524	   33.7880
      64.0	    1.0524	   34.4322
      65.0	    1.0524	   35.0705
      66.0	    1.0524	   35.7029
      67.0	    1.0524	   36.3292
      68.0	    1.0524	   36.9495
      69.0	    1.0524	   37.5638
      70.0	    1.0524	   38.1724
      71.0	    1.0523	   38.7753
      72.0	    1.0523	   39.3730
      73.0	    1.0523	   39.9657
      74.0	    1.0522	   40.5538
      75.0	    1.0522	   41.1376
      76.0	    1.0521	   41.7177
      77.0	    1.0519	   42.2945
      78.0	    1.0518	   42.8684
      79.0	    1.0516	   43.4399
      80.0	    1.0514	   44.0096
      81.0	    1.0511	   44.5779
      82.0	    1.0508	   45.1453
      83.0	    1.0505	   45.7123
      84.0	    1.0501	   46.2793
      85.0	    1.0497	   46.8469
      86.0	    1.0493	   47.4154
      87.0	    1.0489	   47.9852
      88.0	    1.0484	   48.5567
      89.0	    1.0479	   49.1303
      90.0	    1.0474	   49.7062
      91.0	    1.0468	   50.2848
      92.0	    1.0462	   50.8665
      93.0	    1.0456	   51.4514
      94.0	    1.0450	   52.0398
      95.0	    1.0444	   52.6321
      96.0	    1.0438	   53.2285
      97.0	    1.0431	   53.8293
      98.0	    1.0425	   54.4347
      99.0	    1.0419	   55.0451
     100.0	    1.0413	   55.6607
     101.0	    1.0407	   56.2820
     102.0	    1.0402	   56.9090
     103.0	    1.0397	   57.5423
     104.0	    1.0392	   58.1822
     105.0	    1.0388	   58.8288
     106.0	    1.0385	   59.4826
     107.0	    1.0382	   60.1439
     108.0	    1.0380	   60.8130
     109.0	    1.0379	   61.4902
     110.0	    1.0378	   62.1757
     111.0	    1.0378	   62.8699
     112.0	    1.0380	   63.5728
     113.0	    1.0382	   64.2846
     114.0	    1.0384	   65.0055
     115.0	    1.0388	   65.7354
     116.0	    1.0393	   66.4742
