    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.7861	   -0.2089
       1.0	    0.7860	   -0.1734
       2.0	    0.7858	   -0.0670
       3.0	    0.7853	    0.1102
       4.0	    0.7846	    0.3579
       5.0	    0.7837	    0.6757
       6.0	    0.7825	    1.0631
       6.0	    1.0492	    0.5896
       7.0	    1.0473	    1.2464
       8.0	    1.0454	    1.9040
       9.0	    1.0433	    2.5626
      10.0	    1.0413	    3.2228
      11.0	    1.0392	    3.8849
      12.0	    1.0373	    4.5494
      13.0	    1.0354	    5.2168
      14.0	    1.0337	    5.8873
      15.0	    1.0321	    6.5613
      16.0	    1.0308	    7.2389
      17.0	    1.0296	    7.9203
      18.0	    1.0286	    8.6053
      19.0	    1.0279	    9.2941
      20.0	    1.0274	    9.9866
      21.0	    1.0271	   10.6828
      22.0	    1.0270	   11.3830
      23.0	    1.0272	   12.0873
      24.0	    1.0275	   12.7962
      25.0	    1.0281	   13.5102
      26.0	    1.0288	   14.2298
      27.0	    1.0297	   14.9559
      28.0	    1.0307	   15.6892
      29.0	    1.0319	   16.4306
      30.0	    1.0332	   17.1810
      31.0	    1.0346	   17.9411
      32.0	    1.0360	   18.7118
      33.0	    1.0375	   19.4938
      34.0	    1.0390	   20.2878
      35.0	    1.0405	   21.0944
      36.0	    1.0419	   21.9140
      37.0	    1.0433	   22.7470
      38.0	    1.0446	   23.5937
      39.0	    1.0458	   24.4541
      40.0	    1.0469	   25.3284
      41.0	    1.0479	   26.2162
      42.0	    1.0487	   27.1174
      43.0	    1.0495	   28.0314
      44.0	    1.0502	   28.9576
      45.0	    1.0508	   29.8950
      46.0	    1.0514	   30.8428
      47.0	    1.0519	   31.7996
      48.0	    1.0523	   32.7641
      49.0	    1.0527	   33.7348
      50.0	    1.0530	   34.7101
      51.0	    1.0533	   35.6882
      52.0	    1.0536	   36.6673
      53.0	    1.0538	   37.6455
      54.0	    1.0540	   38.6211
      55.0	    1.0541	   39.5923
      56.0	    1.0542	   40.5573
      57.0	    1.0543	   41.5146
      58.0	    1.0543	   42.4627
      59.0	    1.0542	   43.4006
      60.0	    1.0542	   44.3270
      61.0	    1.0541	   45.2412
      62.0	    1.0540	   46.1426
      63.0	    1.0539	   47.0310
      64.0	    1.0538	   47.9062
      65.0	    1.0537	   48.7685
      66.0	    1.0536	   49.6181
      67.0	    1.0536	   50.4558
      68.0	    1.0536	   51.2824
      69.0	    1.0536	   52.0990
      70.0	    1.0536	   52.9068
      71.0	    1.0536	   53.7071
      72.0	    1.0536	   54.5013
      73.0	    1.0536	   55.2911
      74.0	    1.0536	   56.0780
      75.0	    1.0536	   56.8635
      76.0	    1.0536	   57.6491
      77.0	    1.0535	   58.4364
      78.0	    1.0534	   59.2266
      79.0	    1.0533	   60.0212
      80.0	    1.0532	   60.8211
      81.0	    1.0531	   61.6276
      82.0	    1.0529	   62.4414
      83.0	    1.0527	   63.2634
      84.0	    1.0525	   64.0940
      85.0	    1.0522	   64.9335
      86.0	    1.0518	   65.7822
      87.0	    1.0513	   66.6399
      88.0	    1.0508	   67.5063
      89.0	    1.0501	   68.3810
      90.0	    1.0493	   69.2633
      91.0	    1.0483	   70.1523
      92.0	    1.0472	   71.0471
      93.0	    1.0461	   71.9467
      94.0	    1.0447	   72.8501
      95.0	    1.0433	   73.7564
      96.0	    1.0419	   74.6648
      97.0	    1.0403	   75.5745
      98.0	    1.0388	   76.4851
      99.0	    1.0373	   77.3961
     100.0	    1.0359	   78.3074
     101.0	    1.0345	   79.2189
     102.0	    1.0333	   80.1310
     103.0	    1.0322	   81.0438
     104.0	    1.0312	   81.9578
     105.0	    1.0304	   82.8738
     106.0	    1.0299	   83.7924
     107.0	    1.0294	   84.7145
     108.0	    1.0292	   85.6412
     109.0	    1.0292	   86.5736
     110.0	    1.0293	   87.5130
     111.0	    1.0296	   88.4608
     112.0	    1.0301	   89.4184
     113.0	    1.0307	   90.3872
     114.0	    1.0315	   91.3685
     115.0	    1.0324	   92.3638
     116.0	    1.0335	   93.3740
