    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.9128	   -0.2722
       1.0	    0.9127	   -0.2363
       2.0	    0.9125	   -0.1284
       3.0	    0.9120	    0.0515
       4.0	    0.9114	    0.3032
       5.0	    0.9106	    0.6269
       6.0	    0.9094	    1.0225
       6.0	    1.0467	    0.0797
       7.0	    1.0453	    0.6358
       8.0	    1.0439	    1.1963
       9.0	    1.0424	    1.7623
      10.0	    1.0408	    2.3349
      11.0	    1.0392	    2.9154
      12.0	    1.0376	    3.5049
      13.0	    1.0360	    4.1043
      14.0	    1.0345	    4.7147
      15.0	    1.0330	    5.3368
      16.0	    1.0316	    5.9712
      17.0	    1.0303	    6.6186
      18.0	    1.0291	    7.2791
      19.0	    1.0280	    7.9533
      20.0	    1.0270	    8.6411
      21.0	    1.0262	    9.3426
      22.0	    1.0255	   10.0579
      23.0	    1.0250	   10.7868
      24.0	    1.0246	   11.5294
      25.0	    1.0243	   12.2854
      26.0	    1.0243	   13.0548
      27.0	    1.0243	   13.8373
      28.0	    1.0246	   14.6329
      29.0	    1.0250	   15.4413
      30.0	    1.0256	   16.2622
      31.0	    1.0263	   17.0955
      32.0	    1.0271	   17.9407
      33.0	    1.0281	   18.7977
      34.0	    1.0292	   19.6661
      35.0	    1.0303	   20.5455
      36.0	    1.0316	   21.4356
      37.0	    1.0329	   22.3361
      38.0	    1.0342	   23.2466
      39.0	    1.0356	   24.1668
      40.0	    1.0369	   25.0963
      41.0	    1.0383	   26.0349
      42.0	    1.0396	   26.9821
      43.0	    1.0409	   27.9375
      44.0	    1.0422	   28.9007
      45.0	    1.0433	   29.8711
      46.0	    1.0445	   30.8482
      47.0	    1.0455	   31.8313
      48.0	    1.0465	   32.8197
      49.0	    1.0475	   33.8125
      50.0	    1.0483	   34.8089
      51.0	    1.0490	   35.8080
      52.0	    1.0497	   36.8088
      53.0	    1.0502	   37.8105
      54.0	    1.0506	   38.8120
      55.0	    1.0509	   39.8126
      56.0	    1.0511	   40.8112
      57.0	    1.0512	   41.8072
      58.0	    1.0512	   42.7997
      59.0	    1.0511	   43.7880
      60.0	    1.0509	   44.7715
      61.0	    1.0506	   45.7496
      62.0	    1.0503	   46.7216
      63.0	    1.0499	   47.6872
      64.0	    1.0495	   48.6460
      65.0	    1.0491	   49.5975
      66.0	    1.0486	   50.5415
      67.0	    1.0483	   51.4778
      68.0	    1.0479	   52.4063
      69.0	    1.0476	   53.3272
      70.0	    1.0474	   54.2404
      71.0	    1.0472	   55.1462
      72.0	    1.0471	   56.0449
      73.0	    1.0470	   56.9369
      74.0	    1.0470	   57.8226
      75.0	    1.0471	   58.7025
      76.0	    1.0472	   59.5773
      77.0	    1.0473	   60.4474
      78.0	    1.0475	   61.3135
      79.0	    1.0478	   62.1761
      80.0	    1.0480	   63.0360
      81.0	    1.0483	   63.8936
      82.0	    1.0486	   64.7496
      83.0	    1.0489	   65.6046
      84.0	    1.0492	   66.4591
      85.0	    1.0494	   67.3136
      86.0	    1.0496	   68.1686
      87.0	    1.0497	   69.0246
      88.0	    1.0498	   69.8818
      89.0	    1.0497	   70.7406
      90.0	    1.0495	   71.6012
      91.0	    1.0492	   72.4638
      92.0	    1.0487	   73.3286
      93.0	    1.0481	   74.1956
      94.0	    1.0473	   75.0651
      95.0	    1.0464	   75.9371
      96.0	    1.0453	   76.8118
      97.0	    1.0441	   77.6894
      98.0	    1.0428	   78.5702
      99.0	    1.0413	   79.4546
     100.0	    1.0398	   80.3430
     101.0	    1.0382	   81.2361
     102.0	    1.0366	   82.1343
     103.0	    1.0350	   83.0383
     104.0	    1.0334	   83.9489
     105.0	    1.0319	   84.8669
     106.0	    1.0304	   85.7931
     107.0	    1.0289	   86.7284
     108.0	    1.0276	   87.6736
     109.0	    1.0264	   88.6297
     110.0	    1.0254	   89.5976
     111.0	    1.0245	   90.5783
     112.0	    1.0237	   91.5726
     113.0	    1.0232	   92.5815
     114.0	    1.0228	   93.6056
     115.0	    1.0227	   94.6458
     116.0	    1.0227	   95.7027
