    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.9119	   -0.2379
       1.0	    0.9118	   -0.2050
       2.0	    0.9116	   -0.1062
       3.0	    0.9113	    0.0583
       4.0	    0.9108	    0.2885
       5.0	    0.9102	    0.5844
       6.0	    0.9094	    0.9459
       6.0	    1.0479	   -0.1344
       7.0	    1.0470	    0.3626
       8.0	    1.0460	    0.8621
       9.0	    1.0449	    1.3648
      10.0	    1.0439	    1.8714
      11.0	    1.0428	    2.3826
      12.0	    1.0417	    2.8990
      13.0	    1.0407	    3.4214
      14.0	    1.0397	    3.9503
      15.0	    1.0388	    4.4862
      16.0	    1.0380	    5.0294
      17.0	    1.0373	    5.5805
      18.0	    1.0367	    6.1395
      19.0	    1.0362	    6.7067
      20.0	    1.0359	    7.2822
      21.0	    1.0356	    7.8661
      22.0	    1.0355	    8.4583
      23.0	    1.0355	    9.0587
      24.0	    1.0356	    9.6673
      25.0	    1.0358	   10.2839
      26.0	    1.0361	   10.9085
      27.0	    1.0365	   11.5408
      28.0	    1.0370	   12.1807
      29.0	    1.0376	   12.8280
      30.0	    1.0382	   13.4826
      31.0	    1.0389	   14.1442
      32.0	    1.0397	   14.8127
      33.0	    1.0404	   15.4879
      34.0	    1.0412	   16.1696
      35.0	    1.0420	   16.8576
      36.0	    1.0427	   17.5517
      37.0	    1.0435	   18.2517
      38.0	    1.0442	   18.9573
      39.0	    1.0449	   19.6684
      40.0	    1.0455	   20.3845
      41.0	    1.0461	   21.1056
      42.0	    1.0467	   21.8311
      43.0	    1.0472	   22.5608
      44.0	    1.0477	   23.2943
      45.0	    1.0482	   24.0312
      46.0	    1.0486	   24.7709
      47.0	    1.0489	   25.5130
      48.0	    1.0493	   26.2569
      49.0	    1.0496	   27.0021
      50.0	    1.0499	   27.7481
      51.0	    1.0501	   28.4941
      52.0	    1.0504	   29.2397
      53.0	    1.0506	   29.9842
      54.0	    1.0507	   30.7272
      55.0	    1.0509	   31.4680
      56.0	    1.0510	   32.2061
      57.0	    1.0511	   32.9412
      58.0	    1.0512	   33.6728
      59.0	    1.0512	   34.4005
      60.0	    1.0512	   35.1239
      61.0	    1.0512	   35.8429
      62.0	    1.0512	   36.5571
      63.0	    1.0512	   37.2665
      64.0	    1.0512	   37.9708
      65.0	    1.0512	   38.6701
      66.0	    1.0512	   39.3644
      67.0	    1.0513	   40.0537
      68.0	    1.0513	   40.7382
      69.0	    1.0514	   41.4181
      70.0	    1.0514	   42.0936
      71.0	    1.0515	   42.7649
      72.0	    1.0515	   43.4325
      73.0	    1.0516	   44.0966
      74.0	    1.0516	   44.7578
      75.0	    1.0517	   45.4162
      76.0	    1.0517	   46.0724
      77.0	    1.0516	   46.7268
      78.0	    1.0515	   47.3798
      79.0	    1.0514	   48.0317
      80.0	    1.0512	   48.6831
      81.0	    1.0510	   49.3343
      82.0	    1.0507	   49.9857
      83.0	    1.0504	   50.6376
      84.0	    1.0499	   51.2904
      85.0	    1.0495	   51.9445
      86.0	    1.0490	   52.6001
      87.0	    1.0484	   53.2575
      88.0	    1.0477	   53.9170
      89.0	    1.0471	   54.5788
      90.0	    1.0463	   55.2432
      91.0	    1.0456	   55.9104
      92.0	    1.0448	   56.5805
      93.0	    1.0440	   57.2539
      94.0	    1.0432	   57.9308
      95.0	    1.0424	   58.6115
      96.0	    1.0416	   59.2961
      97.0	    1.0408	   59.9851
      98.0	    1.0400	   60.6789
      99.0	    1.0393	   61.3777
     100.0	    1.0387	   62.0820
     101.0	    1.0381	   62.7922
     102.0	    1.0376	   63.5088
     103.0	    1.0371	   64.2322
     104.0	    1.0368	   64.9628
     105.0	    1.0365	   65.7011
     106.0	    1.0363	   66.4476
     107.0	    1.0362	   67.2027
     108.0	    1.0362	   67.9668
     109.0	    1.0363	   68.7403
     110.0	    1.0365	   69.5237
     111.0	    1.0367	   70.3171
     112.0	    1.0371	   71.1210
     113.0	    1.0375	   71.9356
     114.0	    1.0380	   72.7610
     115.0	    1.0386	   73.5973
     116.0	    1.0393	   74.4445
