    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.8911	   -0.4018
       1.0	    0.8910	   -0.3667
       2.0	    0.8907	   -0.2615
       3.0	    0.8903	   -0.0862
       4.0	    0.8896	    0.1589
       5.0	    0.8886	    0.4735
       6.0	    0.8874	    0.8574
       6.0	    1.0443	    0.2251
       7.0	    1.0425	    0.8419
       8.0	    1.0405	    1.4639
       9.0	    1.0383	    2.0929
      10.0	    1.0361	    2.7304
      11.0	    1.0338	    3.3784
      12.0	    1.0314	    4.0385
      13.0	    1.0290	    4.7122
      14.0	    1.0267	    5.4009
      15.0	    1.0243	    6.1060
      16.0	    1.0221	    6.8285
      17.0	    1.0198	    7.5692
      18.0	    1.0177	    8.3289
      19.0	    1.0157	    9.1080
      20.0	    1.0137	    9.9068
      21.0	    1.0119	   10.7256
      22.0	    1.0103	   11.5646
      23.0	    1.0088	   12.4238
      24.0	    1.0074	   13.3034
      25.0	    1.0063	   14.2033
      26.0	    1.0054	   15.1236
      27.0	    1.0046	   16.0643
      28.0	    1.0042	   17.0252
      29.0	    1.0039	   18.0063
      30.0	    1.0039	   19.0074
      31.0	    1.0042	   20.0282
      32.0	    1.0047	   21.0683
      33.0	    1.0055	   22.1274
      34.0	    1.0065	   23.2049
      35.0	    1.0077	   24.3004
      36.0	    1.0091	   25.4133
      37.0	    1.0107	   26.5432
      38.0	    1.0124	   27.6894
      39.0	    1.0143	   28.8516
      40.0	    1.0163	   30.0293
      41.0	    1.0184	   31.2222
      42.0	    1.0206	   32.4296
      43.0	    1.0229	   33.6514
      44.0	    1.0252	   34.8868
      45.0	    1.0275	   36.1353
      46.0	    1.0299	   37.3962
      47.0	    1.0322	   38.6687
      48.0	    1.0345	   39.9519
      49.0	    1.0367	   41.2445
      50.0	    1.0389	   42.5456
      51.0	    1.0410	   43.8537
      52.0	    1.0430	   45.1676
      53.0	    1.0448	   46.4860
      54.0	    1.0464	   47.8076
      55.0	    1.0478	   49.1312
      56.0	    1.0491	   50.4556
      57.0	    1.0501	   51.7798
      58.0	    1.0508	   53.1027
      59.0	    1.0514	   54.4235
      60.0	    1.0517	   55.7413
      61.0	    1.0517	   57.0555
      62.0	    1.0516	   58.3654
      63.0	    1.0513	   59.6703
      64.0	    1.0508	   60.9698
      65.0	    1.0503	   62.2632
      66.0	    1.0496	   63.5501
      67.0	    1.0489	   64.8302
      68.0	    1.0481	   66.1032
      69.0	    1.0473	   67.3687
      70.0	    1.0465	   68.6268
      71.0	    1.0458	   69.8775
      72.0	    1.0451	   71.1208
      73.0	    1.0445	   72.3570
      74.0	    1.0440	   73.5863
      75.0	    1.0435	   74.8092
      76.0	    1.0432	   76.0261
      77.0	    1.0430	   77.2374
      78.0	    1.0429	   78.4436
      79.0	    1.0429	   79.6454
      80.0	    1.0430	   80.8432
      81.0	    1.0433	   82.0376
      82.0	    1.0437	   83.2294
      83.0	    1.0442	   84.4190
      84.0	    1.0447	   85.6071
      85.0	    1.0454	   86.7944
      86.0	    1.0460	   87.9813
      87.0	    1.0467	   89.1684
      88.0	    1.0473	   90.3562
      89.0	    1.0478	   91.5450
      90.0	    1.0482	   92.7353
      91.0	    1.0484	   93.9271
      92.0	    1.0484	   95.1206
      93.0	    1.0482	   96.3160
      94.0	    1.0478	   97.5133
      95.0	    1.0470	   98.7125
      96.0	    1.0461	   99.9139
      97.0	    1.0448	  101.1175
      98.0	    1.0432	  102.3237
      99.0	    1.0415	  103.5328
     100.0	    1.0394	  104.7452
     101.0	    1.0372	  105.9615
     102.0	    1.0348	  107.1823
     103.0	    1.0323	  108.4084
     104.0	    1.0296	  109.6405
     105.0	    1.0269	  110.8797
     106.0	    1.0241	  112.1267
     107.0	    1.0213	  113.3828
     108.0	    1.0186	  114.6490
     109.0	    1.0159	  115.9266
     110.0	    1.0134	  117.2168
     111.0	    1.0109	  118.5210
     112.0	    1.0087	  119.8407
     113.0	    1.0066	  121.1775
     114.0	    1.0048	  122.5327
     115.0	    1.0033	  123.9079
     116.0	    1.0021	  125.3044
