    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.8213	   -0.3366
       1.0	    0.8212	   -0.3012
       2.0	    0.8209	   -0.1953
       3.0	    0.8205	   -0.0190
       4.0	    0.8198	    0.2276
       5.0	    0.8188	    0.5439
       6.0	    0.8176	    0.9295
       6.0	    1.0452	    0.1904
       7.0	    1.0434	    0.7876
       8.0	    1.0415	    1.3843
       9.0	    1.0396	    1.9810
      10.0	    1.0378	    2.5785
      11.0	    1.0359	    3.1777
      12.0	    1.0342	    3.7794
      13.0	    1.0326	    4.3845
      14.0	    1.0311	    4.9937
      15.0	    1.0297	    5.6078
      16.0	    1.0286	    6.2275
      17.0	    1.0276	    6.8532
      18.0	    1.0269	    7.4854
      19.0	    1.0263	    8.1247
      20.0	    1.0260	    8.7715
      21.0	    1.0258	    9.4262
      22.0	    1.0259	   10.0894
      23.0	    1.0261	   10.7617
      24.0	    1.0264	   11.4439
      25.0	    1.0270	   12.1367
      26.0	    1.0276	   12.8410
      27.0	    1.0284	   13.5577
      28.0	    1.0294	   14.2878
      29.0	    1.0304	   15.0322
      30.0	    1.0315	   15.7918
      31.0	    1.0326	   16.5673
      32.0	    1.0338	   17.3596
      33.0	    1.0350	   18.1690
      34.0	    1.0362	   18.9961
      35.0	    1.0375	   19.8410
      36.0	    1.0386	   20.7039
      37.0	    1.0398	   21.5847
      38.0	    1.0409	   22.4832
      39.0	    1.0419	   23.3989
      40.0	    1.0428	   24.3313
      41.0	    1.0436	   25.2797
      42.0	    1.0444	   26.2433
      43.0	    1.0451	   27.2209
      44.0	    1.0457	   28.2116
      45.0	    1.0462	   29.2138
      46.0	    1.0467	   30.2263
      47.0	    1.0472	   31.2473
      48.0	    1.0476	   32.2752
      49.0	    1.0479	   33.3081
      50.0	    1.0483	   34.3441
      51.0	    1.0486	   35.3811
      52.0	    1.0488	   36.4170
      53.0	    1.0491	   37.4498
      54.0	    1.0493	   38.4775
      55.0	    1.0494	   39.4980
      56.0	    1.0496	   40.5094
      57.0	    1.0496	   41.5101
      58.0	    1.0497	   42.4985
      59.0	    1.0496	   43.4733
      60.0	    1.0496	   44.4334
      61.0	    1.0495	   45.3780
      62.0	    1.0494	   46.3066
      63.0	    1.0493	   47.2188
      64.0	    1.0491	   48.1146
      65.0	    1.0490	   48.9943
      66.0	    1.0488	   49.8582
      67.0	    1.0487	   50.7072
      68.0	    1.0486	   51.5421
      69.0	    1.0485	   52.3640
      70.0	    1.0484	   53.1741
      71.0	    1.0483	   53.9738
      72.0	    1.0483	   54.7646
      73.0	    1.0482	   55.5480
      74.0	    1.0482	   56.3255
      75.0	    1.0482	   57.0987
      76.0	    1.0483	   57.8690
      77.0	    1.0483	   58.6378
      78.0	    1.0483	   59.4065
      79.0	    1.0484	   60.1762
      80.0	    1.0485	   60.9480
      81.0	    1.0486	   61.7229
      82.0	    1.0487	   62.5015
      83.0	    1.0488	   63.2846
      84.0	    1.0489	   64.0727
      85.0	    1.0490	   64.8661
      86.0	    1.0490	   65.6649
      87.0	    1.0490	   66.4692
      88.0	    1.0488	   67.2787
      89.0	    1.0486	   68.0930
      90.0	    1.0483	   68.9116
      91.0	    1.0478	   69.7340
      92.0	    1.0472	   70.5593
      93.0	    1.0464	   71.3870
      94.0	    1.0455	   72.2162
      95.0	    1.0445	   73.0464
      96.0	    1.0434	   73.8769
      97.0	    1.0422	   74.7075
      98.0	    1.0409	   75.5380
      99.0	    1.0396	   76.3683
     100.0	    1.0383	   77.1988
     101.0	    1.0370	   78.0297
     102.0	    1.0357	   78.8618
     103.0	    1.0345	   79.6959
     104.0	    1.0333	   80.5329
     105.0	    1.0323	   81.3738
     106.0	    1.0313	   82.2201
     107.0	    1.0305	   83.0730
     108.0	    1.0297	   83.9341
     109.0	    1.0291	   84.8050
     110.0	    1.0286	   85.6873
     111.0	    1.0283	   86.5828
     112.0	    1.0280	   87.4933
     113.0	    1.0279	   88.4205
     114.0	    1.0279	   89.3660
     115.0	    1.0281	   90.3313
     116.0	    1.0284	   91.3179
