    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.8295	    0.0194
       1.0	    0.8294	    0.0571
       2.0	    0.8291	    0.1702
       3.0	    0.8286	    0.3586
       4.0	    0.8280	    0.6220
       5.0	    0.8271	    0.9601
       6.0	    0.8259	    1.3725
       6.0	    1.0499	    0.4784
       7.0	    1.0483	    1.0993
       8.0	    1.0467	    1.7216
       9.0	    1.0449	    2.3456
      10.0	    1.0432	    2.9716
      11.0	    1.0414	    3.6000
      12.0	    1.0398	    4.2310
      13.0	    1.0382	    4.8650
      14.0	    1.0367	    5.5023
      15.0	    1.0353	    6.1431
      16.0	    1.0341	    6.7876
      17.0	    1.0331	    7.4358
      18.0	    1.0322	    8.0879
      19.0	    1.0315	    8.7440
      20.0	    1.0311	    9.4041
      21.0	    1.0308	   10.0683
      22.0	    1.0307	   10.7368
      23.0	    1.0307	   11.4100
      24.0	    1.0310	   12.0881
      25.0	    1.0314	   12.7716
      26.0	    1.0320	   13.4610
      27.0	    1.0328	   14.1569
      28.0	    1.0336	   14.8600
      29.0	    1.0346	   15.5708
      30.0	    1.0357	   16.2902
      31.0	    1.0368	   17.0187
      32.0	    1.0381	   17.7569
      33.0	    1.0393	   18.5055
      34.0	    1.0406	   19.2649
      35.0	    1.0418	   20.0355
      36.0	    1.0430	   20.8177
      37.0	    1.0442	   21.6117
      38.0	    1.0453	   22.4176
      39.0	    1.0464	   23.2354
      40.0	    1.0473	   24.0650
      41.0	    1.0482	   24.9061
      42.0	    1.0490	   25.7584
      43.0	    1.0498	   26.6212
      44.0	    1.0505	   27.4940
      45.0	    1.0510	   28.3758
      46.0	    1.0516	   29.2656
      47.0	    1.0521	   30.1624
      48.0	    1.0525	   31.0649
      49.0	    1.0529	   31.9718
      50.0	    1.0532	   32.8815
      51.0	    1.0535	   33.7926
      52.0	    1.0538	   34.7036
      53.0	    1.0541	   35.6129
      54.0	    1.0542	   36.5191
      55.0	    1.0544	   37.4206
      56.0	    1.0545	   38.3160
      57.0	    1.0546	   39.2042
      58.0	    1.0546	   40.0840
      59.0	    1.0546	   40.9544
      60.0	    1.0546	   41.8148
      61.0	    1.0546	   42.6645
      62.0	    1.0546	   43.5030
      63.0	    1.0545	   44.3304
      64.0	    1.0545	   45.1466
      65.0	    1.0544	   45.9519
      66.0	    1.0544	   46.7467
      67.0	    1.0544	   47.5316
      68.0	    1.0544	   48.3075
      69.0	    1.0544	   49.0754
      70.0	    1.0544	   49.8363
      71.0	    1.0544	   50.5915
      72.0	    1.0544	   51.3423
      73.0	    1.0544	   52.0899
      74.0	    1.0544	   52.8358
      75.0	    1.0544	   53.5812
      76.0	    1.0544	   54.3274
      77.0	    1.0543	   55.0757
      78.0	    1.0542	   55.8273
      79.0	    1.0541	   56.5831
      80.0	    1.0540	   57.3442
      81.0	    1.0538	   58.1112
      82.0	    1.0536	   58.8850
      83.0	    1.0533	   59.6659
      84.0	    1.0530	   60.4545
      85.0	    1.0526	   61.2507
      86.0	    1.0522	   62.0548
      87.0	    1.0516	   62.8664
      88.0	    1.0510	   63.6853
      89.0	    1.0503	   64.5110
      90.0	    1.0494	   65.3429
      91.0	    1.0485	   66.1802
      92.0	    1.0475	   67.0220
      93.0	    1.0463	   67.8677
      94.0	    1.0451	   68.7163
      95.0	    1.0438	   69.5671
      96.0	    1.0425	   70.4194
      97.0	    1.0411	   71.2727
      98.0	    1.0398	   72.1264
      99.0	    1.0384	   72.9804
     100.0	    1.0372	   73.8344
     101.0	    1.0360	   74.6886
     102.0	    1.0350	   75.5431
     103.0	    1.0341	   76.3982
     104.0	    1.0333	   77.2544
     105.0	    1.0327	   78.1123
     106.0	    1.0322	   78.9727
     107.0	    1.0319	   79.8363
     108.0	    1.0318	   80.7043
     109.0	    1.0318	   81.5776
     110.0	    1.0320	   82.4574
     111.0	    1.0324	   83.3450
     112.0	    1.0329	   84.2415
     113.0	    1.0335	   85.1483
     114.0	    1.0343	   86.0664
     115.0	    1.0352	   86.9971
     116.0	    1.0362	   87.9413
