    * 节点"BUS-1    100.0"输出数据列表
     ===============================
      时间   	 正序电压 	 正序角度 
               	   (PU)   	   (度)   
       0.0	    1.0509	   -1.5957
       0.0	    0.9019	   -0.3432
       1.0	    0.9018	   -0.3076
       2.0	    0.9015	   -0.2006
       3.0	    0.9010	   -0.0223
       4.0	    0.9004	    0.2271
       5.0	    0.8995	    0.5476
       6.0	    0.8983	    0.9389
       6.0	    1.0447	    0.1435
       7.0	    1.0431	    0.7337
       8.0	    1.0413	    1.3286
       9.0	    1.0394	    1.9297
      10.0	    1.0374	    2.5385
      11.0	    1.0353	    3.1564
      12.0	    1.0332	    3.7849
      13.0	    1.0311	    4.4253
      14.0	    1.0291	    5.0789
      15.0	    1.0270	    5.7468
      16.0	    1.0250	    6.4298
      17.0	    1.0230	    7.1287
      18.0	    1.0211	    7.8441
      19.0	    1.0194	    8.5765
      20.0	    1.0177	    9.3263
      21.0	    1.0161	   10.0936
      22.0	    1.0147	   10.8787
      23.0	    1.0134	   11.6817
      24.0	    1.0123	   12.5026
      25.0	    1.0113	   13.3416
      26.0	    1.0105	   14.1987
      27.0	    1.0100	   15.0740
      28.0	    1.0096	   15.9673
      29.0	    1.0095	   16.8786
      30.0	    1.0095	   17.8079
      31.0	    1.0098	   18.7548
      32.0	    1.0103	   19.7193
      33.0	    1.0110	   20.7009
      34.0	    1.0119	   21.6993
      35.0	    1.0130	   22.7142
      36.0	    1.0143	   23.7452
      37.0	    1.0157	   24.7918
      38.0	    1.0172	   25.8537
      39.0	    1.0189	   26.9304
      40.0	    1.0207	   28.0217
      41.0	    1.0225	   29.1271
      42.0	    1.0244	   30.2463
      43.0	    1.0264	   31.3787
      44.0	    1.0284	   32.5240
      45.0	    1.0304	   33.6815
      46.0	    1.0324	   34.8505
      47.0	    1.0345	   36.0303
      48.0	    1.0365	   37.2199
      49.0	    1.0384	   38.4183
      50.0	    1.0403	   39.6245
      51.0	    1.0421	   40.8373
      52.0	    1.0438	   42.0555
      53.0	    1.0454	   43.2779
      54.0	    1.0468	   44.5032
      55.0	    1.0481	   45.7304
      56.0	    1.0492	   46.9583
      57.0	    1.0501	   48.1859
      58.0	    1.0508	   49.4123
      59.0	    1.0513	   50.6366
      60.0	    1.0516	   51.8579
      61.0	    1.0518	   53.0757
      62.0	    1.0517	   54.2892
      63.0	    1.0515	   55.4978
      64.0	    1.0512	   56.7010
      65.0	    1.0508	   57.8983
      66.0	    1.0503	   59.0893
      67.0	    1.0498	   60.2736
      68.0	    1.0492	   61.4511
      69.0	    1.0486	   62.6214
      70.0	    1.0480	   63.7847
      71.0	    1.0474	   64.9409
      72.0	    1.0468	   66.0901
      73.0	    1.0463	   67.2326
      74.0	    1.0459	   68.3686
      75.0	    1.0455	   69.4986
      76.0	    1.0452	   70.6230
      77.0	    1.0450	   71.7422
      78.0	    1.0449	   72.8567
      79.0	    1.0449	   73.9672
      80.0	    1.0450	   75.0740
      81.0	    1.0451	   76.1779
      82.0	    1.0454	   77.2794
      83.0	    1.0457	   78.3790
      84.0	    1.0461	   79.4773
      85.0	    1.0465	   80.5750
      86.0	    1.0469	   81.6723
      87.0	    1.0473	   82.7700
      88.0	    1.0477	   83.8683
      89.0	    1.0480	   84.9677
      90.0	    1.0482	   86.0684
      91.0	    1.0483	   87.1706
      92.0	    1.0482	   88.2745
      93.0	    1.0479	   89.3802
      94.0	    1.0473	   90.4879
      95.0	    1.0466	   91.5977
      96.0	    1.0457	   92.7097
      97.0	    1.0445	   93.8241
      98.0	    1.0431	   94.9413
      99.0	    1.0415	   96.0616
     100.0	    1.0397	   97.1854
     101.0	    1.0378	   98.3133
     102.0	    1.0357	   99.4459
     103.0	    1.0334	  100.5839
     104.0	    1.0311	  101.7280
     105.0	    1.0288	  102.8791
     106.0	    1.0264	  104.0381
     107.0	    1.0240	  105.2059
     108.0	    1.0216	  106.3837
     109.0	    1.0194	  107.5725
     110.0	    1.0172	  108.7735
     111.0	    1.0151	  109.9880
     112.0	    1.0132	  111.2173
     113.0	    1.0115	  112.4626
     114.0	    1.0100	  113.7253
     115.0	    1.0087	  115.0065
     116.0	    1.0077	  116.3075
